word,video_url
A,A.mp4
A (tohåndsalfabet),A-2.mp4
a-tak (byggfag),a-tak.mp4
a-takstol (byggfag) 1,a-takstol-1.mp4
a-takstol (byggfag) 2,a-takstol-2.mp4
abdisere 1,abdisere-1.mp4
abdisere 2,abdisere-2.mp4
abonnere,abonnere.mp4
abort,abort.mp4
Abraham (bibelsk person),abraham-bibelsk-person.mp4
absolutt 1,absolutt-1.mp4
absolutt 2,absolutt-2.mp4
abstinens,abstinens.mp4
abstrakt,abstrakt.mp4
actionkamera,actionkamera.mp4
addisjon,addisjon.mp4
adel,adel.mp4
adferd/atferd,adferd-atferd.mp4
adgang,adgang.mp4
ADHD,adhd.mp4
adjektiv,adjektiv.mp4
administrasjon,administrasjon.mp4
administrere,administrere.mp4
Adobe After Effects (programvare),adobe-after-effects.mp4
Adobe Illustrator (programvare) 1,adobe-illustrator-1.mp4
Adobe Illustrator (programvare) 2,adobe-illustrator-2.mp4
Adobe InDesign (programvare) 1,adobe-indesign-1.mp4
Adobe InDesign (programvare) 2,adobe-indesign-2.mp4
Adobe Photoshop (programvare),adobe-photoshop.mp4
Adobe Premiere (programvare),adobe-premiere.mp4
adopsjon,adopsjon.mp4
adresse,adresse.mp4
advare,advare.mp4
advarsel,advarsel.mp4
advent,advent.mp4
adventister,adventister.mp4
adventskalender,adventskalender.mp4
adverb,adverb.mp4
advokat,advokat.mp4
advokatfullmektig,advokatfullmektig.mp4
Afghanistan 1,afghanistan-1.mp4
Afghanistan 2,afghanistan-2.mp4
Afrika 1,afrika-1.mp4
Afrika 2,afrika-2.mp4
Afrika 3,afrika-3.mp4
aften,aften.mp4
Aftenposten,aftenposten.mp4
aftensmat,aftensmat.mp4
aggresjon 1,aggresjon-1.mp4
aggresjon 2,aggresjon-2.mp4
agility,agility-1.mp4
agnostiker,agnostiker.mp4
agurk 1,agurk.mp4
agurk 2,agurk-2.mp4
aha,aha.mp4
akademi,akademi.mp4
ake,ake.mp4
akebrett,akebrett.mp4
